SpinState,Entry,Scale,a / Angs,b / Angs,c / Angs,alpha / deg.,beta / deg.,gamma / deg.,volume / Angs^3,Energy / eV,Strain / eV 
 , , , , , , , , , ,e_1,e_2,e_3,e_4,e_5,e_6
1,0,-0.04,3.7350719999999997,3.7350719999999997,3.7350719999999997,90.0000000044179,90.0000000044179,90.0000000044179,52.10710368168707,-22.257995400000002,-0.04,-0.04,-0.04,-0.0,-0.0,-0.0
1,1,0.0,3.8907,3.8907,3.8907,90.0000000044179,90.0000000044179,90.0000000044179,58.89565212864302,-22.96510038,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.04,4.046328,4.046328,4.046328,90.0000000044179,90.0000000044179,90.0000000044179,66.24959883603384,-22.596969480000002,0.04,0.04,0.04,0.0,0.0,0.0
2,3,-0.04,3.7350719999999997,3.7350719999999997,3.7350719999999997,90.0000000044179,90.0000000044179,90.0000000044179,52.10710368168707,-22.25799539,-0.04,-0.04,-0.04,-0.0,-0.0,-0.0
2,4,0.0,3.8907,3.8907,3.8907,90.0000000044179,90.0000000044179,90.0000000044179,58.89565212864302,-22.96510031,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.04,4.046328,4.046328,4.046328,90.0000000044179,90.0000000044179,90.0000000044179,66.24959883603384,-22.59696946,0.04,0.04,0.04,0.0,0.0,0.0
